-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
void at::native::vectorized_elementwise_kernel<8, at...         0.00%       0.000us         0.00%       0.000us       0.000us      15.140ms         1.09%      15.140ms      18.854us           803
                                              aten::sum         0.09%       1.859ms         0.90%      18.051ms     141.020us      14.889ms         1.07%      14.889ms     116.322us           128
void at::native::reduce_kernel<128, 4, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      14.889ms         1.07%      14.889ms     116.322us           128
void cudnn::engines_precompiled::nhwcToNchwKernel<__...         0.00%       0.000us         0.00%       0.000us       0.000us      13.553ms         0.98%      13.553ms     338.822us            40
void at::native::vectorized_elementwise_kernel<8, at...         0.00%       0.000us         0.00%       0.000us       0.000us      13.404ms         0.96%      13.404ms      34.815us           385
void at::native::vectorized_elementwise_kernel<8, at...         0.00%       0.000us         0.00%       0.000us       0.000us      13.298ms         0.96%      13.298ms     309.253us            43
                                       _C::silu_and_mul         0.02%     411.920us         0.68%      13.779ms     107.647us      12.179ms         0.88%      12.179ms      95.150us           128
void vllm::act_and_mul_kernel<c10::BFloat16, __nv_bf...         0.00%       0.000us         0.00%       0.000us       0.000us      12.179ms         0.88%      12.179ms      95.150us           128
                                               aten::ne         0.07%       1.495ms         0.74%      14.833ms     115.884us      12.128ms         0.87%      12.350ms      96.484us           128
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      12.128ms         0.87%      12.128ms      94.753us           128
                                             aten::mean         0.20%       4.022ms         1.03%      20.700ms      40.429us      12.081ms         0.87%      12.081ms      23.595us           512
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      12.081ms         0.87%      12.081ms      23.595us           512
                                            aten::where         0.07%       1.467ms         1.39%      27.969ms     109.255us      10.080ms         0.73%      20.345ms      79.473us           256
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      10.080ms         0.73%      10.080ms      78.754us           128
sm90_xmma_fprop_implicit_gemm_f16f16_f16f32_f32_nhwc...         0.00%       0.000us         0.00%       0.000us       0.000us       9.902ms         0.71%       9.902ms     900.154us            11
                                         cudaEventQuery         0.03%     630.843us         0.03%     631.021us       0.390us       9.796ms         0.71%       9.796ms       6.062us          1616
triton_red_fused__to_copy_abs_clamp_max_mul_reciproc...         0.16%       3.134ms         0.76%      15.234ms      59.506us       9.433ms         0.68%       9.433ms      36.848us           256
triton_red_fused__to_copy_abs_clamp_max_mul_reciproc...         0.00%       0.000us         0.00%       0.000us       0.000us       9.433ms         0.68%       9.433ms      36.848us           256
## Call CompiledFxGraph ft77loc2leylrekfolg3mr3is3yv...         0.00%       0.000us         0.00%       0.000us       0.000us       9.433ms         0.68%       9.433ms      36.848us           256
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       7.777ms         0.56%       7.777ms     370.357us            21
void vllm::scaled_fp8_quant_kernel_strided_dynamic<c...         0.00%       0.000us         0.00%       0.000us       0.000us       7.661ms         0.55%       7.661ms      29.926us           256
void cudnn::engines_precompiled::nchwToNhwcKernel<__...         0.00%       0.000us         0.00%       0.000us       0.000us       5.786ms         0.42%       5.786ms     120.532us            48
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       5.740ms         0.41%       5.740ms      21.907us           262
sm80_xmma_fprop_implicit_gemm_indexed_wo_smem_f16f16...         0.00%       0.000us         0.00%       0.000us       0.000us       3.829ms         0.28%       3.829ms       3.829ms             1
                           _moe_C::moe_align_block_size         0.04%     711.574us         0.36%       7.303ms      57.053us       3.773ms         0.27%       3.773ms      29.476us           128
sm90_xmma_fprop_implicit_gemm_bf16bf16_bf16f32_f32_n...         0.00%       0.000us         0.00%       0.000us       0.000us       3.672ms         0.26%       3.672ms     458.998us             8
                                         ApplyRotaryEmb         0.73%      14.674ms         1.06%      21.405ms      83.613us       3.598ms         0.26%       3.598ms      14.056us           256
                                          rotary_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       3.598ms         0.26%       3.598ms      14.056us           256
                                              aten::all         0.08%       1.618ms         0.35%       6.963ms      52.352us       3.476ms         0.25%       3.476ms      26.136us           133
                       Memcpy HtoD (Pageable -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       3.434ms         0.25%       3.434ms     171.698us            20
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       3.374ms         0.24%       3.374ms      25.756us           131
                      triton_poi_fused_mul_silu_slice_0         0.06%       1.169ms         0.28%       5.658ms      44.203us       3.199ms         0.23%       3.199ms      24.994us           128
                      triton_poi_fused_mul_silu_slice_0         0.00%       0.000us         0.00%       0.000us       0.000us       3.199ms         0.23%       3.199ms      24.994us           128
## Call CompiledFxGraph fvflfjd7k4ojll3fuxiwohb5qotp...         0.00%       0.000us         0.00%       0.000us       0.000us       3.199ms         0.23%       3.199ms      24.994us           128
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       3.009ms         0.22%       3.009ms     429.924us             7
                    cudaThreadExchangeStreamCaptureMode         0.02%     391.416us         0.02%     392.450us       0.243us       3.007ms         0.22%       3.007ms       1.861us          1616
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       2.773ms         0.20%       2.773ms      31.512us            88
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       2.563ms         0.18%       2.563ms      13.145us           195
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       2.136ms         0.15%       2.136ms      54.779us            39
